UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
1034;Q9NXA8;SIRT5;NAD-dependent protein deacylase sirtuin-5- mitochondrial;Olink Explore Neurology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1035;Q9NY25;CLEC5A;C-type lectin domain family 5 member A;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: bone marrow;TEBM
1036;Q9NYY1;IL20;Interleukin-20;Olink Explore Inflammation- Olink Target 96 Inflammation;Not detected;ND
1037;Q9NZ53;PODXL2;Podocalyxin-like protein 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- pituitary gland;TEBPG
1038;Q9NZN5;ARHGEF12;Rho guanine nucleotide exchange factor 12;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
1039;Q9NZV1;CRIM1;Cysteine-rich motor neuron 1 protein;Olink Explore Inflammation- Olink Target 96 Development;Tissue enhanced: placenta;TEP
1040;Q9P0G3;KLK14;Kallikrein-14;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: skin 1;TES1
1041;Q9P0J1;PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1- mitochondrial;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1042;Q9P0K1;ADAM22;Disintegrin and metalloproteinase domain-containing protein 22;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enriched: brain;TEB
1043;Q9P0V8;SLAMF8;SLAM family member 8;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue;TELT
1044;Q9P126;CLEC1B;C-type lectin domain family 1 member B;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enriched: liver;TEL
1045;Q9P1Z2;CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
1046;Q9UBG3;CRNN;Cornulin;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: esophagus- vagina;TEEV
1047;Q9UBM4;OPTC;Opticin;Olink Explore Oncology- Olink Target 96 Cell Regulation;Not detected;ND
1048;Q9UBP4;DKK 3,00;Dickkopf-related protein 3;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enriched: heart muscle;TEHM
1049;Q9UBR2;CTSZ;Cathepsin Z;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
1050;Q9UBT3;DKK 4,00;Dickkopf-related protein 4;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain- esophagus;TEBE
1051;Q9UBU3;GHRL;Appetite-regulating hormone;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: stomach 1;TES1
1052;Q9UBX1;CTSF;Cathepsin F;Olink Explore Oncology- Olink Target 96 Development;Low tissue specificity;LTS
1053;Q9UBX7;KLK11;Kallikrein-11;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: esophagus- salivary gland- skin 1- vagina;TEESGS1V
1054;Q9UDT6;CLIP2;CAP-Gly domain-containing linker protein 2;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: brain;TEB
1055;Q9UEW3;MARCO;Macrophage receptor MARCO;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enhanced: liver- lung- lymphoid tissue;TELLLT
1056;Q9UGM5;FETUB;Fetuin-B;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
1057;Q9UHC6;CNTNAP2;Contactin-associated protein-like 2;Olink Explore Inflammation- Olink Target 96 Immune Response;Group enriched: brain- retina;GEBR
1058;Q9UHD8;SEPTIN9;Septin-9;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
1059;Q9UHF1;EGFL7;Epidermal growth factor-like protein 7;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1060;Q9UHF4;IL20RA;Interleukin-20 receptor subunit alpha;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: breast- skin 1;TEBS1
1061;Q9UHL4;DPP7;Dipeptidyl peptidase 2;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
1062;Q9UHV9;PFDN2;Prefoldin subunit 2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
1063;Q9UHX3;ADGRE2;Adhesion G protein-coupled receptor E2;Olink Explore Inflammation- Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue;TELT
1064;Q9UIB8;CD84;SLAM family member 5;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue;TELT
1065;Q9UJ71;CD207;C-type lectin domain family 4 member K;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enriched: skin 1;TES1
1066;Q9UJ72;ANXA10;Annexin A10;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: stomach 1;TES1
1067;Q9UJM8;HAO1;2-Hydroxyacid oxidase 1;Olink Explore Oncology- Olink Target 96 Cardiovascular II;Tissue enriched: liver;TEL
1068;Q9UJY5;GGA1;ADP-ribosylation factor-binding protein GGA1;Olink Explore Neurology- Olink Target 96 Oncology III;Tissue enhanced: testis;TET
1069;Q9UK05;GDF2;Growth/differentiation factor 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: liver;TEL
1070;Q9UK53;ING1;Inhibitor of growth protein 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
1071;Q9UK85;DKKL1;Dickkopf-like protein 1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: testis;TET
1072;Q9UKJ0;PILRB;Paired immunoglobulin-like type 2 receptor beta;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
1073;Q9UKJ1;PILRA;Paired immunoglobulin-like type 2 receptor alpha;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
1074;Q9UKK9;NUDT5;ADP-sugar pyrophosphatase;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
1075;Q9UKL0;RCOR1;REST corepressor 1;Olink Explore Cardiometabolic- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1076;Q9UKP3;ITGB1BP2;Integrin beta-1-binding protein 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enhanced: heart muscle- skeletal muscle- tongue;TEHMSMT
1077;Q9UKR0;KLK12;Kallikrein-12;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: cervix- esophagus- salivary gland- vagina;TECESGV
1078;Q9UKR3;KLK13;Kallikrein-13;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enriched: esophagus;TEE
1079;Q9UKS7;IKZF2;Zinc finger protein Helios;Olink Explore Oncology- Olink Target 96 Neuro Exploratory;Tissue enhanced: lymphoid tissue;TELT
1080;Q9UKX5;ITGA11;Integrin alpha-11;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: cervix- endometrium 1- smooth muscle;TECE1SM
1081;Q9ULL4;PLXNB3;Plexin-B3;Olink Explore Cardiometabolic- Olink Target 96 Neurology;Tissue enriched: brain;TEB
1082;Q9ULX7;CA14;Carbonic anhydrase 14;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: choroid plexus- retina- skeletal muscle- tongue;TECPRSMT
1083;Q9UM47;NOTCH3;Neurogenic locus notch homolog protein 3;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
1084;Q9UMF0;ICAM5;Intercellular adhesion molecule 5;Olink Explore Cardiometabolic- Olink Target 96 Oncology III;Tissue enriched: brain;TEB
1085;Q9UMR7;CLEC4A;C-type lectin domain family 4 member A;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
1086;Q9UN19;DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: esophagus- lymphoid tissue;TEELT
1087;Q9UNE0;EDAR;Tumor necrosis factor receptor superfamily member EDAR;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: esophagus;TEE
1088;Q9UNK0;STX8;Syntaxin-8;Olink Explore Inflammation- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1089;Q9UPY6;WASF3;Actin-binding protein WASF3;Olink Explore Neurology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- retina;TEBR
1090;Q9UQQ2;SH2B3;SH2B adapter protein 3;Olink Explore Oncology- Olink Target 96 Immune Response;Tissue enhanced: bone marrow;TEBM
1091;Q9Y240;CLEC11A;C-type lectin domain family 11 member A;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: bone marrow;TEBM
1092;Q9Y275;TNFSF13B;Tumor necrosis factor ligand superfamily member 13B;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
1093;Q9Y279;VSIG4;V-set and immunoglobulin domain-containing protein 4;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: lung;TEL
1094;Q9Y286;SIGLEC7;Sialic acid-binding Ig-like lectin 7;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue;TELT
1095;Q9Y2B0;CNPY2;Protein canopy homolog 2;Olink Explore Cardiometabolic- Olink Target 96 Oncology III;Low tissue specificity;LTS
1096;Q9Y2J8;PADI2;Protein-arginine deiminase type-2;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: brain- skeletal muscle- tongue;TEBSMT
1097;Q9Y2V2;CARHSP1;Calcium-regulated heat-stable protein 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: testis;TET
1098;Q9Y2W6;TDRKH;Tudor and KH domain-containing protein;Olink Explore Neurology- Olink Target 96 Cell Regulation;Tissue enhanced: parathyroid gland- testis;TEPGT
1099;Q9Y336;SIGLEC9;Sialic acid-binding Ig-like lectin 9;Olink Explore Oncology- Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue;TELT
1100;Q9Y3P8;SIT 1,00;Signaling threshold-regulating transmembrane adapter 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue;TELT
1101;Q9Y478;PRKAB1;5'-AMP-activated protein kinase subunit beta-1;Olink Explore Inflammation- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1102;Q9Y4K4;MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5;Olink Explore Neurology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1103;Q9Y4X3;CCL27;C-C motif chemokine 27;Olink Explore Cardiometabolic- Olink Target 96 Neuro Exploratory;Tissue enriched: skin 1;TES1
1104;Q9Y5A7;NUB1;NEDD8 ultimate buster 1;Olink Explore Inflammation- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1105;Q9Y5C1;ANGPTL3;Angiopoietin-related protein 3;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
1106;Q9Y5K2;KLK4;Kallikrein-4;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: prostate;TEP
1107;Q9Y5K6;CD2AP;CD2-associated protein;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
1108;Q9Y5K8;ATP6V1D;V-type proton ATPase subunit D;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
1109;Q9Y5L3;ENTPD2;Ectonucleoside triphosphate diphosphohydrolase 2;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: brain;TEB
1110;Q9Y5P4;CERT1;Ceramide transfer protein;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
1111;Q9Y5V3;MAGED1;Melanoma-associated antigen D1;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
1112;Q9Y5W5;WIF1;Wnt inhibitory factor 1;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: brain- retina;TEBR
1113;Q9Y624;F11R;Junctional adhesion molecule A;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
1114;Q9Y662;HS3ST3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3B1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: liver- retina;TELR
1115;Q9Y680;FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: ovary;TEO
1116;Q9Y6A5;TACC3;Transforming acidic coiled-coil-containing protein 3;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: bone marrow- lymphoid tissue- testis;TEBMLTT
1117;Q9Y6D9;MAD1L1;Mitotic spindle assembly checkpoint protein MAD1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
1118;Q9Y6K9;IKBKG;NF-kappa-B essential modulator;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
1119;Q9Y6N7;ROBO1;Roundabout homolog 1;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
1120;Q9Y6Q6;TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: intestine- salivary gland;TEISG
1121;A1E959;ODAM;Odontogenic ameloblast-associated protein;Olink Explore Neurology;Tissue enriched: salivary gland;TESG
1122;A1L4H1;SSC5D;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D;Olink Explore Cardiometabolic;Tissue enhanced: endometrium 1;TEE1
1123;B1AKI9;ISM1;Isthmin-1;Olink Explore Inflammation;Tissue enhanced: thyroid gland;TETG
1124;O00244;ATOX1;Copper transport protein ATOX1;Olink Explore Oncology;Low tissue specificity;LTS
1125;O00292;LEFTY2;Left-right determination factor 2;Olink Explore Oncology;Tissue enhanced: cervix- endometrium 1;TECE1
1126;O00399;DCTN6;Dynactin subunit 6;Olink Explore Neurology;Low tissue specificity;LTS
1127;O00468;AGRN;Agrin;Olink Explore Inflammation;Low tissue specificity;LTS
1128;O00559;EBAG9;Receptor-binding cancer antigen expressed on SiSo cells;Olink Explore Neurology;Low tissue specificity;LTS
1129;O00584;RNASET2;Ribonuclease T2;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1130;O00626;CCL22;C-C motif chemokine 22;Olink Explore Inflammation;Group enriched: intestine- lymphoid tissue- skin 1- urinary bladder;GEILTS1UB
1131;O14523;C2CD2L;Phospholipid transfer protein C2CD2L;Olink Explore Neurology;Low tissue specificity;LTS
1132;O14579;COPE;Coatomer subunit epsilon;Olink Explore Neurology;Low tissue specificity;LTS
1133;O14618;CCS;Copper chaperone for superoxide dismutase;Olink Explore Neurology;Low tissue specificity;LTS
1134;O14737;PDCD5;Programmed cell death protein 5;Olink Explore Neurology;Low tissue specificity;LTS
1135;O14964;HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate;Olink Explore Oncology;Low tissue specificity;LTS
1136;O14974;PPP1R12A;Protein phosphatase 1 regulatory subunit 12A;Olink Explore Oncology;Low tissue specificity;LTS
1137;O15116;LSM 1,00;U6 snRNA-associated Sm-like protein LSm1;Olink Explore Oncology;Low tissue specificity;LTS
1138;O15117;FYB1;FYN-binding protein 1;Olink Explore Neurology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
1139;O15354;GPR37;Prosaposin receptor GPR37;Olink Explore Cardiometabolic;Group enriched: brain- retina;GEBR
1140;O15389;SIGLEC5;Sialic acid-binding Ig-like lectin 5;Olink Explore Neurology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
1141;O15394;NCAM2;Neural cell adhesion molecule 2;Olink Explore Neurology;Group enriched: adrenal gland- brain- liver- testis;GEAGBLT
1142;O43598;DNPH1;2'-deoxynucleoside 5'-phosphate N-hydrolase 1;Olink Explore Inflammation;Low tissue specificity;LTS
1143;O43639;NCK2;Cytoplasmic protein NCK2;Olink Explore Inflammation;Low tissue specificity;LTS
1144;O43715;TRIAP1;TP53-regulated inhibitor of apoptosis 1;Olink Explore Oncology;Low tissue specificity;LTS
1145;O60496;DOK2;Docking protein 2;Olink Explore Cardiometabolic;Tissue enhanced: lung- lymphoid tissue;TELLT
1146;O60635;TSPAN1;Tetraspanin-1;Olink Explore Cardiometabolic;Tissue enhanced: intestine;TEI
1147;O60664;PLIN3;Perilipin-3;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1148;O60825;PFKFB2;6-phosphofructo-2-kinase/fructose-2-6-bisphosphatase 2;Olink Explore Oncology;Tissue enhanced: retina;TER
1149;O60828;PQBP1;Polyglutamine-binding protein 1;Olink Explore Oncology;Low tissue specificity;LTS
1150;O60884;DNAJA2;DnaJ homolog subfamily A member 2;Olink Explore Inflammation;Low tissue specificity;LTS
1151;O75340;PDCD6;Programmed cell death protein 6;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1152;O75380;NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6- mitochondrial;Olink Explore Oncology;Tissue enhanced: skeletal muscle;TESM
1153;O75462;CRLF1;Cytokine receptor-like factor 1;Olink Explore Inflammation;Tissue enhanced: heart muscle;TEHM
1154;O75493;CA11;Carbonic anhydrase-related protein 11;Olink Explore Oncology;Group enriched: brain- choroid plexus;GEBCP
1155;O75563;SKAP2;Src kinase-associated phosphoprotein 2;Olink Explore Inflammation;Low tissue specificity;LTS
1156;O75629;CREG1;Protein CREG1;Olink Explore Oncology;Low tissue specificity;LTS
1157;O76061;STC2;Stanniocalcin-2;Olink Explore Neurology;Tissue enriched: breast;TEB
1158;O76076;CCN5;CCN family member 5;Olink Explore Neurology;Tissue enhanced: adipose tissue- cervix;TEATC
1159;O76096;CST7;Cystatin-F;Olink Explore Inflammation;Tissue enriched: bone marrow;TEBM
1160;O94813;SLIT2;Slit homolog 2 protein;Olink Explore Neurology;Low tissue specificity;LTS
1161;O94856;NFASC;Neurofascin;Olink Explore Inflammation;Tissue enhanced: brain;TEB
1162;O94903;PLPBP;Pyridoxal phosphate homeostasis protein;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1163;O95256;IL18RAP;Interleukin-18 receptor accessory protein;Olink Explore Neurology;Group enriched: bone marrow- lymphoid tissue;GEBMLT
1164;O95466;FMNL1;Formin-like protein 1;Olink Explore Neurology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
1165;O95498;VNN 2,00;Pantetheine hydrolase VNN2;Olink Explore Oncology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
1166;O95684;CEP43;Centrosomal protein 43;Olink Explore Cardiometabolic;Tissue enhanced: testis;TET
1167;O95817;BAG3;BAG family molecular chaperone regulator 3;Olink Explore Neurology;Tissue enhanced: brain- skeletal muscle;TEBSM
1168;O95866;MPIG6B;Megakaryocyte and platelet inhibitory receptor G6b;Olink Explore Inflammation;Tissue enhanced: lung- lymphoid tissue- skin 1;TELLTS1
1169;O96017;CHEK2;Serine/threonine-protein kinase Chk2;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1170;P00568;AK1;Adenylate kinase isoenzyme 1;Olink Explore Cardiometabolic;Tissue enhanced: skeletal muscle- tongue;TESMT
1171;P00740;F9;Coagulation factor IX;Olink Explore Cardiometabolic;Tissue enriched: liver;TEL
1172;P01178;OXT;Oxytocin-neurophysin 1;Olink Explore Neurology;Tissue enriched: brain;TEB
1173;P01236;PRL;Prolactin;Olink Explore Neurology;Tissue enriched: pituitary gland;TEPG
1174;P01903;HLA-DRA;HLA class II histocompatibility antigen- DR alpha chain;Olink Explore Inflammation;Tissue enhanced: lung- lymphoid tissue;TELLT
1175;P02533;KRT14;Keratin- type I cytoskeletal 14;Olink Explore Neurology;Tissue enriched: skin 1;TES1
1176;P02749;APOH;Beta-2-glycoprotein 1;Olink Explore Neurology;Tissue enriched: liver;TEL
1177;P04054;PLA2G1B;Phospholipase A2;Olink Explore Cardiometabolic;Tissue enriched: pancreas;TEP
1178;P04118;CLPS;Colipase;Olink Explore Neurology;Tissue enriched: pancreas;TEP
1179;P04155;TFF1;Trefoil factor 1;Olink Explore Neurology;Tissue enriched: stomach 1;TES1
1180;P04746;AMY2A;Pancreatic alpha-amylase;Olink Explore Cardiometabolic;Tissue enriched: pancreas;TEP
1181;P05060;CHGB;Secretogranin-1;Olink Explore Neurology;Group enriched: adrenal gland- pituitary gland;GEAGPG
1182;P05455;SSB;Lupus La protein;Olink Explore Neurology;Low tissue specificity;LTS
1183;P05783;KRT18;Keratin- type I cytoskeletal 18;Olink Explore Oncology;Low tissue specificity;LTS
1184;P05937;CALB1;Calbindin;Olink Explore Oncology;Tissue enriched: kidney;TEK
1185;P06733;ENO1;Alpha-enolase;Olink Explore Neurology;Low tissue specificity;LTS
1186;P06870;KLK1;Kallikrein-1;Olink Explore Oncology;Group enriched: pancreas- salivary gland;GEPSG
1187;P07108;DBI;Acyl-CoA-binding protein;Olink Explore Neurology;Low tissue specificity;LTS
1188;P07148;FABP1;Fatty acid-binding protein- liver;Olink Explore Inflammation;Group enriched: intestine- liver;GEIL
1189;P07741;APRT;Adenine phosphoribosyltransferase;Olink Explore Neurology;Low tissue specificity;LTS
1190;P07858;CTSB;Cathepsin B;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1191;P08134;RHOC;Rho-related GTP-binding protein RhoC;Olink Explore Neurology;Low tissue specificity;LTS
1192;P08174;CD55;Complement decay-accelerating factor;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1193;P08263;GSTA1;Glutathione S-transferase A1;Olink Explore Cardiometabolic;Tissue enhanced: adrenal gland- kidney- liver;TEAGKL
1194;P08319;ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4;Olink Explore Cardiometabolic;Tissue enriched: liver;TEL
1195;P08571;CD14;Monocyte differentiation antigen CD14;Olink Explore Cardiometabolic;Tissue enhanced: liver;TEL
1196;P08758;ANXA5;Annexin A5;Olink Explore Neurology;Low tissue specificity;LTS
1197;P09093;CELA3A;Chymotrypsin-like elastase family member 3A;Olink Explore Cardiometabolic;Tissue enriched: pancreas;TEP
1198;P09496;CLTA;Clathrin light chain A;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1199;P0DMV8;HSPA1A;Heat shock 70 kDa protein 1A;Olink Explore Inflammation;Low tissue specificity;LTS
1200;P10606;COX5B;Cytochrome c oxidase subunit 5B- mitochondrial;Olink Explore Oncology;Tissue enhanced: skeletal muscle;TESM
1201;P10644;PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1202;P11684;SCGB1A1;Uteroglobin;Olink Explore Inflammation;Tissue enriched: lung;TEL
1203;P12081;HARS1;Histidine--tRNA ligase- cytoplasmic;Olink Explore Neurology;Low tissue specificity;LTS
1204;P12111;COL6A3;Collagen alpha-3(VI) chain;Olink Explore Cardiometabolic;Tissue enhanced: smooth muscle;TESM
1205;P12429;ANXA3;Annexin A3;Olink Explore Neurology;Tissue enhanced: bone marrow;TEBM
1206;P12532;CKMT1A- CKMT1B;Creatine kinase U-type- mitochondrial;Olink Explore Inflammation;Tissue enhanced: esophagus- intestine- Tissue enhanced: brain- esophagus- intestine;TEEITEBEI
1207;P13473;LAMP2;Lysosome-associated membrane glycoprotein 2;Olink Explore Neurology;Low tissue specificity;LTS
1208;P13647;KRT5;Keratin- type II cytoskeletal 5;Olink Explore Neurology;Group enriched: esophagus- skin 1- vagina;GEES1V
1209;P13807;GYS1;Glycogen [starch] synthase- muscle;Olink Explore Cardiometabolic;Group enriched: heart muscle- skeletal muscle- tongue;GEHMSMT
1210;P14136;GFAP;Glial fibrillary acidic protein;Olink Explore Oncology;Tissue enriched: brain;TEB
1211;P14207;FOLR2;Folate receptor beta;Olink Explore Neurology;Tissue enhanced: placenta;TEP
1212;P14209;CD99;CD99 antigen;Olink Explore Neurology;Low tissue specificity;LTS
1213;P14555;PLA2G2A;Phospholipase A2- membrane associated;Olink Explore Cardiometabolic;Group enriched: adipose tissue- intestine- placenta- urinary bladder;GEATIPUB
1214;P14868;DARS1;Aspartate--tRNA ligase- cytoplasmic;Olink Explore Neurology;Low tissue specificity;LTS
1215;P15336;ATF2;Cyclic AMP-dependent transcription factor ATF-2;Olink Explore Neurology;Low tissue specificity;LTS
1216;P17516;AKR1C4;Aldo-keto reductase family 1 member C4;Olink Explore Cardiometabolic;Tissue enriched: liver;TEL
1217;P17538;CTRB1;Chymotrypsinogen B;Olink Explore Neurology;Tissue enriched: pancreas;TEP
1218;P17676;CEBPB;CCAAT/enhancer-binding protein beta;Olink Explore Cardiometabolic;Low tissue specificity;LTS
1219;P18428;LBP;Lipopolysaccharide-binding protein;Olink Explore Cardiometabolic;Tissue enriched: liver;TEL
1220;P19440;GGT1;Glutathione hydrolase 1 proenzyme;Olink Explore Neurology;Tissue enhanced: kidney- liver;TEKL
1221;P19876;CXCL3;C-X-C motif chemokine 3;Olink Explore Inflammation;Tissue enhanced: adipose tissue- cervix;TEATC
1222;P19961;AMY2B;Alpha-amylase 2B;Olink Explore Cardiometabolic;Tissue enriched: pancreas;TEP
1223;P20774;OGN;Mimecan;Olink Explore Neurology;Tissue enhanced: cervix;TEC
1224;P20809;IL11;Interleukin-11;Olink Explore Inflammation;Low tissue specificity;LTS
1225;P20827;EFNA1;Ephrin-A1;Olink Explore Neurology;Tissue enhanced: liver;TEL
1226;P20851;C4BPB;C4b-binding protein beta chain;Olink Explore Oncology;Tissue enriched: liver;TEL
1227;P21549;AGXT;Alanine--glyoxylate aminotransferase;Olink Explore Cardiometabolic;Tissue enriched: liver;TEL
1228;P21709;EPHA1;Ephrin type-A receptor 1;Olink Explore Inflammation;Group enriched: esophagus- parathyroid gland;GEEPG
1229;P22079;LPO;Lactoperoxidase;Olink Explore Neurology;Tissue enriched: salivary gland;TESG
1230;P22304;IDS;Iduronate 2-sulfatase;Olink Explore Inflammation;Tissue enriched: brain;TEB
1231;P22307;SCP2;Sterol carrier protein 2;Olink Explore Oncology;Tissue enhanced: liver;TEL
1232;P22676;CALB2;Calretinin;Olink Explore Neurology;Tissue enhanced: adipose tissue- brain- breast;TEATBB
1233;P22692;IGFBP4;Insulin-like growth factor-binding protein 4;Olink Explore Neurology;Low tissue specificity;LTS
1234;P22894;MMP8;Neutrophil collagenase;Olink Explore Neurology;Tissue enriched: bone marrow;TEBM
1235;P23276;KEL;Kell blood group glycoprotein;Olink Explore Neurology;Group enriched: bone marrow- testis;GEBMT
1236;P23381;WARS1;Tryptophan--tRNA ligase- cytoplasmic;Olink Explore Neurology;Tissue enhanced: placenta;TEP
1237;P26440;IVD;Isovaleryl-CoA dehydrogenase- mitochondrial;Olink Explore Neurology;Low tissue specificity;LTS
1238;P28906;CD34;Hematopoietic progenitor cell antigen CD34;Olink Explore Neurology;Low tissue specificity;LTS
1239;P28908;TNFRSF8;Tumor necrosis factor receptor superfamily member 8;Olink Explore Neurology;Tissue enhanced: adipose tissue;TEAT
1240;P29279;CCN2;CCN family member 2;Olink Explore Inflammation;Low tissue specificity;LTS
1241;P29466;CASP1;Caspase-1;Olink Explore Neurology;Tissue enhanced: intestine- lymphoid tissue;TEILT
1242;P29475;NOS1;Nitric oxide synthase- brain;Olink Explore Neurology;Group enriched: brain- skeletal muscle- tongue;GEBSMT
1243;P30039;PBLD;Phenazine biosynthesis-like domain-containing protein;Olink Explore Neurology;Group enriched: intestine- kidney- liver;GEIKL
